UPC,Description,Brand,NW Category,NW Subcategory,NW Sub Brand 1,NW Sub Brand 2,NW Sub Brand 3,Potency,FORM,AGE,GENDER,COMPANY,FUNCTIONAL INGREDIENT,HEALTH FOCUS,SIZE,HIGH LEVEL CATEGORY,NW_UPC,Unit of Measure,Pack Count,Organic,other ing. 2,other ing. 3,other ing. 4,other ing. 5,other ing. 6,other ing. 7,other ing. 8,other ing. 9,other ing. 10,other ing. 11,other ing. 12,other ing. 13,other ing. 14,other ing. 15,other ing. 16,other ing. 17,other ing. 18,other ing. 19,other ing. 20,Spare1,Spare2,Spare3,Spare4,Spare5
B01HO2WYQY,trojan magnum ecstasy large size condoms - 10 count,trojan,REMOVE,,,,,,,,,trojan,,,,REMOVE,B01HO2WYQY,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01HSEMKZ8,braided & pearl detail headwear for hair loss  full headcover,deresina headwear,REMOVE,,,,,,,,,deresina headwear,,,,REMOVE,B01HSEMKZ8,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01HUZTM10,revive repair hair masque,jane carter solution,REMOVE,,,,,,,,,jane carter solution,,,,REMOVE,B01HUZTM10,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01HWWRK42,"nibra gym wear usa gym gloves beige/black with 12 inch wrist support for man & women, padded workout crossfit, weightlifting,biking. (medium)",nibra gym wear usa,REMOVE,,,,,,,,,nibra gym wear usa,,,,REMOVE,B01HWWRK42,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01HZ4GOYE,anna riva oil- court 1/4oz,indio products,REMOVE,,,,,,,,,indio products,,,,REMOVE,B01HZ4GOYE,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01HZQOJRQ,acupressure back & belly belt magnetic (36),acupressure health care system,REMOVE,,,,,,,,,acupressure health care system,,,,REMOVE,B01HZQOJRQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01I0VIYT4,"fromonda (citrus ipa) body powder unisex (5 oz. 3-pack) talc-free, anti-chafing, sweat defense with essential oils",fromonda,REMOVE,,,,,,,,,fromonda,,,,REMOVE,B01I0VIYT4,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01I0VPDPC,"fromonda (citrus ipa) body powder unisex (1.4 oz, 3-pack) talc free, anti-chafing, sweat defense with essential oils",fromonda,REMOVE,,,,,,,,,fromonda,,,,REMOVE,B01I0VPDPC,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01IA3VJWQ,"tammy fender - natural sensitive/dry skin treatment kit  organic, cruelty-free, non-toxic  replenish, hydrate, + soothe, best for dry and sensitive skin (6 piece set)",tammy fender,REMOVE,,,,,,,,,tammy fender,,,,REMOVE,B01IA3VJWQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01IA989FA,andrea eye q's eye make-up remover pads ultra quick 65 each (pack of 10),remove,REMOVE,,,,,,,,,remove,,,,REMOVE,B01IA989FA,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01IA99VDO,"motions nourish & care, hair & scalp daily moisturizing hairdressing 6 oz (pack of 7)",motions at home,REMOVE,,,,,,,,,motions at home,,,,REMOVE,B01IA99VDO,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01IA9EDSC,dax pressing oil 7.50 oz (pack of 5),dax,REMOVE,,,,,,,,,dax,,,,REMOVE,B01IA9EDSC,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01IADXXQ6,organix moroccan argan oil weightless healing dry oil 4 oz (pack of 10),ogx,REMOVE,,,,,,,,,ogx,,,,REMOVE,B01IADXXQ6,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01IAEFY1M,conair styling essentials trim & shape hair trimmer 1 ea,conair,REMOVE,,,,,,,,,conair,,,,REMOVE,B01IAEFY1M,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01IAERJEM,"hollywood beauty macadamia oil, 2 oz (pack of 6)",hollywood beauty,REMOVE,,,,,,,,,hollywood beauty,,,,REMOVE,B01IAERJEM,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01IAETQPW,"doo gro mega long hair vitalizer, 4 oz (pack of 5)",doo gro,REMOVE,,,,,,,,,doo gro,,,,REMOVE,B01IAETQPW,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01IAEUBZ6,africas best castor oil 5.25 ounce (155ml) (6 pack),africa's best,REMOVE,,,,,,,,,africa's best,,,,REMOVE,B01IAEUBZ6,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01IAEUERG,"hollywood beauty castor oil, 2 oz (pack of 12)",hollywood beauty,REMOVE,,,,,,,,,hollywood beauty,,,,REMOVE,B01IAEUERG,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01IAFIX8C,african pride shea butter miracle moisture intense bouncy curls pudding 15 oz (pack of 10),african pride,REMOVE,,,,,,,,,african pride,,,,REMOVE,B01IAFIX8C,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01IAHYAIW,"gold bond medicated powder, 10 ounce - 2 pack",gold bond,REMOVE,,,,,,,,,gold bond,,,,REMOVE,B01IAHYAIW,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01IAHYD5C,gold bond medicated powder triple action relief 10 ounce (talc-free) (pack of 4),gold bond,REMOVE,,,,,,,,,gold bond,,,,REMOVE,B01IAHYD5C,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01IAHYFW8,medicated powder triple action relief 10 ounce (talc-free),gold bond,REMOVE,,,,,,,,,gold bond,,,,REMOVE,B01IAHYFW8,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01IAHZB8A,"zeasorb af powder with 2% miconazole nitrate, 2.5 ounce (pack of 7)",zeasorb,REMOVE,,,,,,,,,zeasorb,,,,REMOVE,B01IAHZB8A,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01IAI50DA,glucoflex glucosamine chondroitin sulfate caplets 60 caplets (pack of 8),glucoflex,MISCELLANEOUS SUPPLEMENTS,GLUCOSAMINE & CHONDROITIN,,,,,CAPLET,AGE GROUP - NON SPECIFIC,GENDER - NON SPECIFIC,glucoflex,glucosamine,JOINT HEALTH,8,PRIORITY VMS,B01IAI50DA,COUNT,60,NOT ORGANIC,chondroitin sulfate,,,,,,,,,,,,,,,,,,,,,,,
B01IAI8MIK,convatec sensi-care protective barrier 4 oz (pack of 5),convatec,REMOVE,,,,,,,,,convatec,,,,REMOVE,B01IAI8MIK,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01IAICQDC,s.s.s. tonic liquid 20 oz (pack of 12),s.s.s. co,,,,,,,REMOVE,REMOVE,REMOVE,s.s.s. co,,UNKNOWN,N/A,REMOVE,B01IAICQDC,N/A,N/A,REMOVE,,,,,,,,,,,,,,,,,,,,,,,,
B01IAIEC48,gold bond ultimate comfort body powder 10 oz (pack of 7),gold bond,REMOVE,,,,,,,,,gold bond,,,,REMOVE,B01IAIEC48,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01IAIEOEQ,gold bond ult pwdd size 10 oz gold bond ultimate comfort body powder with aloe,gold bond,REMOVE,,,,,,,,,gold bond,,,,REMOVE,B01IAIEOEQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01IAIH786,"oppo gel toe and finger cap, medium, pack of 6",oppo,REMOVE,,,,,,,,,oppo,,,,REMOVE,B01IAIH786,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01IAIKGBQ,"gold bond no mess powder spray, fresh scent with aloe 7 oz pack of 7",gold bond,REMOVE,,,,,,,,,gold bond,,,,REMOVE,B01IAIKGBQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01IAIKJXG,"gold bond no mess powder spray, fresh scent with aloe 7 oz",gold bond,REMOVE,,,,,,,,,gold bond,,,,REMOVE,B01IAIKJXG,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01IAILY9O,"benefiber fiber sugar-free on the go stick packs, unflavored, 28 ea (pack of 9)",benefiber,PROBIOTICS+,FIBER PRODUCTS & LAXATIVES,,,,,PACKET,AGE GROUP - NON SPECIFIC,GENDER - NON SPECIFIC,benefiber,fiber,EYE HEALTH,9,PRIORITY VMS,B01IAILY9O,COUNT,28,NOT ORGANIC,,,,,,,,,,,,,,,,,,,,,,,,
B01IB1JTB0,"anti monkey butt anti friction powder with calamine - 6 oz, pack of 5",anti monkey butt,REMOVE,,,,,,,,,anti monkey butt,,,,REMOVE,B01IB1JTB0,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01IN5G1LA,"gold bond extra strength triple action relief medicated body powder, 10 0unce, pack of 2",gold bond,REMOVE,,,,,,,,,gold bond,,,,REMOVE,B01IN5G1LA,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01IN5G1SS,gold bond medicated powder 1 ounce travel size (pack of 3),gold bond,REMOVE,,,,,,,,,gold bond,,,,REMOVE,B01IN5G1SS,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01IN5G20U,"gold bond extra strength medicated body powder, 2 count",gold bond,REMOVE,,,,,,,,,gold bond,,,,REMOVE,B01IN5G20U,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01IO8SFWE,"vedco chlor-a-clens, 4 oz. by vedco chlor-a-clens, 4 oz.",vedco,REMOVE,,,,,,,,,vedco,,,,REMOVE,B01IO8SFWE,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01IQGZJY6,dirty rigger comfort fit framer rigger glove various sizes (xxl),dirty rigger,REMOVE,,,,,,,,,dirty rigger,,,,REMOVE,B01IQGZJY6,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01IRQAHBK,lemon eucalyptus essential oil - 32 fl oz - aluminum bottle - 100% pure essential oil - greenhealth,greenhealth,REMOVE,,,,,,,,,greenhealth,,,,REMOVE,B01IRQAHBK,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01ISZSSMA,"sexflesh realistic double dong, 17.5 inch",sexflesh,REMOVE,,,,,,,,,sexflesh,,,,REMOVE,B01ISZSSMA,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01IVPWFD0,"yuana premium hair oil cum hair serum (blend of olive, castor, almond, coconut, sesame, mustard, sunflower) for hair growth and hair fall control, 100 ml",yuana,REMOVE,,,,,,,,,yuana,,,,REMOVE,B01IVPWFD0,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01IVZQXBU,linziclipmidi51017hairclawclipâ5gr,linziclip,REMOVE,,,,,,,,,linziclip,,,,REMOVE,B01IVZQXBU,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01J1II9HM,"dried red rose petals 100g  natural rosa centifolia flower  for tea, baking, cooking, potpourri, bath, skincare, crafts, candle making, soap & home decor",herbsforever,REMOVE,,,,,,,,,herbsforever,,,,REMOVE,B01J1II9HM,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01J45XJ2W,50 treet double edge razor blades,razor blades club,REMOVE,,,,,,,,,razor blades club,,,,REMOVE,B01J45XJ2W,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01J4QCS7I,anti monkey butt lady powder,anti monkey butt,REMOVE,,,,,,,,,anti monkey butt,,,,REMOVE,B01J4QCS7I,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01J4ZIK6M,lastpackof1âpenismuseumofhuckleberrycollectionâ[dvd],format: dvd,REMOVE,,,,,,,,,format: dvd,,,,REMOVE,B01J4ZIK6M,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01J5F4TLQ,evagarden hydraone face lotion - refreshing formula prepares your skin to maximize effectiveness of treatments - helps maintain all-day hydration - light and non-sticky texture - 3.38 oz,evagarden,REMOVE,,,,,,,,,evagarden,,,,REMOVE,B01J5F4TLQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01JBEP74O,diane fromm facial caps dfc007,diane,REMOVE,,,,,,,,,diane,,,,REMOVE,B01JBEP74O,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01JC4XW8G,"fromonda (muti-scent) body powder (5 oz. 3-pack) unisex, talc-free, anti-chafing, sweat defense with essential oils",fromonda,REMOVE,,,,,,,,,fromonda,,,,REMOVE,B01JC4XW8G,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01JD4J7G6,"americo manufacturing 400312 green scrub floor scrubbing pad (5 pack), 12",americo manufacturing,REMOVE,,,,,,,,,americo manufacturing,,,,REMOVE,B01JD4J7G6,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01JD4JABI,"americo green scrub floor pad, 16 diameter, 3.25 center hole, 5 pads/case, cleaning pad for hard surfaces, made of 100% recycled content, usa made",americo,REMOVE,,,,,,,,,americo,,,,REMOVE,B01JD4JABI,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01JD8MQ0Q,edwin jagger double edge safety razor with long handle (black octagonal),edwin jagger,REMOVE,,,,,,,,,edwin jagger,,,,REMOVE,B01JD8MQ0Q,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01JDTUG7U,"fromonda (multi-scent) body powder (5 oz. 3-pack) unisex, talc-free, anti-chafing, sweat defense with essential oils",fromonda,REMOVE,,,,,,,,,fromonda,,,,REMOVE,B01JDTUG7U,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01JF98ZDK,lemongrass essential oil - 1 gallon - 100% pure & uncut - greenhealth,greenhealth,REMOVE,,,,,,,,,greenhealth,,,,REMOVE,B01JF98ZDK,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01JH0CB6O,quinton hypertonic ampoules - 30 by quintessential,quintessential,UNKNOWN,UNKNOWN,,,,,OTHER/UNKNOWN,AGE GROUP - NON SPECIFIC,GENDER - NON SPECIFIC,quintessential,quinton,UNKNOWN,1,PRIORITY VMS,B01JH0CB6O,COUNT,30,NOT ORGANIC,,,,,,,,,,,,,,,,,,,,,,,,
B01JH0DH58,"safety first aid noise at work a2 poster, laminated",safety first aid,REMOVE,,,,,,,,,safety first aid,,,,REMOVE,B01JH0DH58,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01JIEFXIW,"morgan cooling scalp treatment, 1 pound",morgan,REMOVE,,,,,,,,,morgan,,,,REMOVE,B01JIEFXIW,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01JLOGA5Y,benjamins kananga water (pack of 1),benjamins,REMOVE,,,,,,,,,benjamins,,,,REMOVE,B01JLOGA5Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01JT6X37C,organic gourmet indonesian vanilla beans (2 oz),caviar star,REMOVE,,,,,,,,,caviar star,,,,REMOVE,B01JT6X37C,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01JWM5MDG,fitness maniac 10 count jump rope skipping ropes for boxing workout speed jumping exercise fitness men women adult kids adjustable jumprope,fitness maniac,REMOVE,,,,,,,,,fitness maniac,,,,REMOVE,B01JWM5MDG,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01JZT9XI6,dental mathieu needle holder 14cm (5.5) pliers forcep orthodontics surgical instruments,superior,REMOVE,,,,,,,,,superior,,,,REMOVE,B01JZT9XI6,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01K1QZKVQ,"new pond's magic powder oil & blemish control cool blue 50g (pack of 3) - portable in your hand bag to travel, camping...",pond's,REMOVE,,,,,,,,,pond's,,,,REMOVE,B01K1QZKVQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01K2E84TM,technical precision replacement for welch allyn lumiview,technical precision,REMOVE,,,,,,,,,technical precision,,,,REMOVE,B01K2E84TM,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01K2Z8FMC,rachelle parker fragrance oils (ylang ylang),pure by rachelle parker,REMOVE,,,,,,,,,pure by rachelle parker,,,,REMOVE,B01K2Z8FMC,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01K3I2KDS,jg10cc-ll-25 10 cc luer lock calibrated manual assembled syringe bag of 25,jensen global,REMOVE,,,,,,,,,jensen global,,,,REMOVE,B01K3I2KDS,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01K49GF32,2 pack of chamois butt'r original - 2- 8oz tubes,chamois butt'r,REMOVE,,,,,,,,,chamois butt'r,,,,REMOVE,B01K49GF32,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01K5J8K3Y,bintiva mini pilates ball 7-9 inch stability ball used for exercise yoga pilates and therapy,bintiva,REMOVE,,,,,,,,,bintiva,,,,REMOVE,B01K5J8K3Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01K6VRGHM,every little thing balm (4 oz.),good medicine beauty lab,,,,,,,REMOVE,REMOVE,REMOVE,good medicine beauty lab,,UNKNOWN,N/A,REMOVE,B01K6VRGHM,N/A,N/A,REMOVE,,,,,,,,,,,,,,,,,,,,,,,,
B01K8T4XR8,"zevia zero calorie tonic water, 7.5 fluid ounce - 24 per case.",zevia,REMOVE,,,,,,,,,zevia,,,,REMOVE,B01K8T4XR8,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01KGMMZ1S,hesta/rael women's organic cotton period menstrual sanitary protective panties underwear / 3pack,hesta,REMOVE,,,,,,,,,hesta,,,,REMOVE,B01KGMMZ1S,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01KI22PN4,deve herbes pure fenugreek (methi) carrier oil (trigonella foenumgraecum) cold pressed 200ml (6.76 ounce),deve herbes,REMOVE,,,,,,,,,deve herbes,,,,REMOVE,B01KI22PN4,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01KIETG4I,"sleepy essential oil blend - 15ml, 100% pure therapeutic grade by simply earth",simply earth,REMOVE,,,,,,,,,simply earth,,,,REMOVE,B01KIETG4I,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01KKUX600,"graham medical graham medical 280 animal parade tissue/poly/tissue pediatric gown, 20 width, 36 length (pack of 50)",graham medical,REMOVE,,,,,,,,,graham medical,,,,REMOVE,B01KKUX600,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01KKUXNSK,covidien sharpsafety sharp container,covidien,REMOVE,,,,,,,,,covidien,,,,REMOVE,B01KKUXNSK,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01KMVQWQ2,"quickplay pro speed + agility set, multi-sport training agility poles  cones  speed hurdles  soccer tennis  crowd barrier",quickplay,REMOVE,,,,,,,,,quickplay,,,,REMOVE,B01KMVQWQ2,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01KON820M,deve herbes pure tamanu oil (calophyllum inophyllum) cold pressed 10ml (0.33 oz),dãveherbes,REMOVE,,,,,,,,,dãveherbes,,,,REMOVE,B01KON820M,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01KQFDAK0,funcywomenmenstrualperiodbriefsleakproofpantiespostpartumbleedingunderwearpackof2-4,funcy,REMOVE,,,,,,,,,funcy,,,,REMOVE,B01KQFDAK0,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01KSYZ660,borden cottage cheese low fat  16 oz,borden,REMOVE,,,,,,,,,borden,,,,REMOVE,B01KSYZ660,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01KURJYHC,harmonize seven chakra spinning quartz merkaba energy generator spiritual reiki healing gemstones,harmonize,REMOVE,,,,,,,,,harmonize,,,,REMOVE,B01KURJYHC,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01KW9PA30,"tres agaves tequila reposado 80 pr, 750 ml",tres agaves,REMOVE,,,,,,,,,tres agaves,,,,REMOVE,B01KW9PA30,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01KWQ1H44,trideer exercise ball,trideer,REMOVE,,,,,,,,,trideer,,,,REMOVE,B01KWQ1H44,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01KYNGPLA,21st century sentry senior 50+ tablets 100 ct (3 pack),21st century,,,,,,,TABLET,AGE GROUP - MATURE ADULT,GENDER - NON SPECIFIC,21st century,,UNKNOWN,3,REMOVE,B01KYNGPLA,COUNT,100,NOT ORGANIC,,,,,,,,,,,,,,,,,,,,,,,,
B01KYX2IRU,3b scientific deluxe stationary massage table,3b scientific,REMOVE,,,,,,,,,3b scientific,,,,REMOVE,B01KYX2IRU,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01KYZWG7K,"akakstore100%mulberrysilkpirateeyepatchforboyskidstoreatlazyeye/amblyopia/strabismus-notlightleak,smooth,softandcomfortablesmall,black",akoak,REMOVE,,,,,,,,,akoak,,,,REMOVE,B01KYZWG7K,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01KZ6457W,"3m espe 6029b1b filtek supreme ultra universal restorative composite body refill capsule, b1b shade",3m oral care,REMOVE,,,,,,,,,3m oral care,,,,REMOVE,B01KZ6457W,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01KZTGKDG,"vaadi herbals dandruff defense lemon shampoo, 110ml with olive conditioner, 110ml",vaadi herbals,REMOVE,,,,,,,,,vaadi herbals,,,,REMOVE,B01KZTGKDG,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01L2TZY1C,"graham medical tissue drape & bed sheets drape sheet, white, 40 x 48, 2-ply, 100/cs (60 cs/plt)",graham medical,REMOVE,,,,,,,,,graham medical,,,,REMOVE,B01L2TZY1C,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01L3MJOZ0,"john frieda frizz ease curl reviver mousse, 7.2 ounces, enhances curls, soft flexible hold, mousse for curly or frizzy hair, alcohol-free",john frieda,REMOVE,,,,,,,,,john frieda,,,,REMOVE,B01L3MJOZ0,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01L5MEW3M,bioliq - 35+ anti-aging cream for combination skin,bioliq,REMOVE,,,,,,,,,bioliq,,,,REMOVE,B01L5MEW3M,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01L88YMDI,"akoak100%mulberrysilkpirateeyepatchforadultwomengirlstoreatlazyeye/amblyopia/strabismus-notlightleak,smooth,softandcomfortablelarge,pink",akoak,REMOVE,,,,,,,,,akoak,,,,REMOVE,B01L88YMDI,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01L9TZBZ4,savon de marseille - french soap made with organic shea butter - red wine fragrance - suitable for all skin types - 125 gram bar,la maison du savon de marseille,REMOVE,,,,,,,,,la maison du savon de marseille,,,,REMOVE,B01L9TZBZ4,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01LA2BLGI,"alfie pet - noah recovery collar (for dogs and cats) - color: red, size: medium",alfie,REMOVE,,,,,,,,,alfie,,,,REMOVE,B01LA2BLGI,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01LA2BMSU,"alfie pet - noah recovery collar (for dogs and cats) - color: red, size: small",alfie,REMOVE,,,,,,,,,alfie,,,,REMOVE,B01LA2BMSU,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01LA2BQXQ,"alfie pet - marcos recovery collar (for dogs and cats) - color: red polka, size: medium",alfie,REMOVE,,,,,,,,,alfie,,,,REMOVE,B01LA2BQXQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01LB2VQ0I,"natrol biotin fast dissolve tablets, 10,000 mcg, 60 count",natrol,BASIC VITAMINS & MINERALS,LETTER VITAMINS,,,,,TABLET,AGE GROUP - NON SPECIFIC,GENDER - NON SPECIFIC,natrol,biotin,BEAUTY,1,PRIORITY VMS,B01LB2VQ0I,COUNT,60,NOT ORGANIC,,,,,,,,,,,,,,,,,,,,,,,,
B01LB2WGIE,"natrol milk thistle advantage capsule, 525 mg, 60 count",natrol,,,,,,,CAPSULE,AGE GROUP - NON SPECIFIC,GENDER - NON SPECIFIC,natrol,milk thistle,CLEANSE & DETOX,1,REMOVE,B01LB2WGIE,COUNT,60,NOT ORGANIC,,,,,,,,,,,,,,,,,,,,,,,,
B01LBAFCDM,kirkland wcaqz  coq10 300 mg 100 softgels (pack of 2),remove,BASIC VITAMINS & MINERALS,COENZYME Q10,,,,,SOFTGEL,AGE GROUP - NON SPECIFIC,GENDER - NON SPECIFIC,remove,coq10,UNKNOWN,2,PRIORITY VMS,B01LBAFCDM,COUNT,100,NOT ORGANIC,,,,,,,,,,,,,,,,,,,,,,,,
B01LDYIQOI,kirkland ovqfk  coq10 300 mg 100 softgels (pack of 2),remove,BASIC VITAMINS & MINERALS,COENZYME Q10,,,,,SOFTGEL,AGE GROUP - NON SPECIFIC,GENDER - NON SPECIFIC,remove,coq10,UNKNOWN,2,PRIORITY VMS,B01LDYIQOI,COUNT,100,NOT ORGANIC,,,,,,,,,,,,,,,,,,,,,,,,
B01LFQZAPM,shea moisture raw shea reconstructive elixir 4 ounce (118ml) (2 pack),sheamoisture,REMOVE,,,,,,,,,sheamoisture,,,,REMOVE,B01LFQZAPM,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01LGV30VW,dynamique tentacle wrapped 316l surgical steel industrial barbell (sold per piece),dynamique,REMOVE,,,,,,,,,dynamique,,,,REMOVE,B01LGV30VW,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01LLRTIMG,mecca musk - 1/3 oz.,utopia africa,REMOVE,,,,,,,,,utopia africa,,,,REMOVE,B01LLRTIMG,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01LMOKEY4,whole world botanicals royal desmodium allergy lung support -- 4 fl oz by whole world botanicals,whole world botanicals,REMOVE,,,,,,,,,whole world botanicals,,,,REMOVE,B01LMOKEY4,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01LOMXM3O,"edens garden focus, focus, focus ok for kids essential oil synergy blend, 100% pure therapeutic grade (undiluted natural/homeopathic aromatherapy scented essential oil blends) 5 ml",edens garden,REMOVE,,,,,,,,,edens garden,,,,REMOVE,B01LOMXM3O,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01LQ5NXQK,set/kit/lot of 104pcs nails art designs and manicure decorations stickers/water transfers/decals/tattoos with many different patterns/images/pictures,vaga,REMOVE,,,,,,,,,vaga,,,,REMOVE,B01LQ5NXQK,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01LQF08RC,deve herbes pure tagete essential oil (tagetes minuta) steam distilled 30ml (1 oz),dãveherbes,REMOVE,,,,,,,,,dãveherbes,,,,REMOVE,B01LQF08RC,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01LQF5HGE,deveherbespureolibanumessentialoil(boswelliacarterii)steamdistilled10ml(0.33oz),dãveherbes,REMOVE,,,,,,,,,dãveherbes,,,,REMOVE,B01LQF5HGE,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01LQF5JU8,deveherbespureolibanumessentialoil(boswelliacarterii)steamdistilled30ml(1oz),dãveherbes,REMOVE,,,,,,,,,dãveherbes,,,,REMOVE,B01LQF5JU8,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01LQF5KXE,deveherbespureolibanumessentialoil(boswelliacarterii)steamdistilled50ml(1.69oz),dãveherbes,REMOVE,,,,,,,,,dãveherbes,,,,REMOVE,B01LQF5KXE,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01LQF5LWO,deveherbespureolibanumessentialoil(boswelliacarterii)steamdistilled100ml(3.38oz),dãveherbes,REMOVE,,,,,,,,,dãveherbes,,,,REMOVE,B01LQF5LWO,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01LRK6K50,wildklass jewelry heart flat top titanium plated 316l surgical steel internally threaded labret/monroe (sold by piece),wildklass jewelry,REMOVE,,,,,,,,,wildklass jewelry,,,,REMOVE,B01LRK6K50,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01LVZ5E14,"brown cow, yogurt cream top vanilla, 32 ounce",brown cow,REMOVE,,,,,,,,,brown cow,,,,REMOVE,B01LVZ5E14,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01LVZ5ECD,"nuun active, tri berry, 10 ct",nuun,,,,,,,OTHER/UNKNOWN,AGE GROUP - NON SPECIFIC,GENDER - NON SPECIFIC,nuun,,UNKNOWN,1,REMOVE,B01LVZ5ECD,COUNT,10,NOT ORGANIC,,,,,,,,,,,,,,,,,,,,,,,,
